city,hotel_name,rating,price_1p_inr,price_2p_inr,price_3p_inr,price_4p_inr,amenities,nearest_landmark,base_2p_rate_inr
Hyderabad,Taj Falaknuma Palace,4.7,8400,12000,16800,21600,Pool; Free WiFi; Spa; Airport transfer,Charminar,12000
Hyderabad,The Golkonda Hotel,4.4,3150,4500,6300,8100,Free WiFi; Restaurant; Pool; Gym,Golconda Fort,4500
Hyderabad,ITC Kakatiya,4.5,4900,7000,9800,12600,Pool; Free WiFi; Spa; Business Center,Charminar,7000
Hyderabad,Hotel Green Park,4.1,2450,3500,4900,6300,Free WiFi; Restaurant; Airport shuttle,Hussain Sagar,3500
Hyderabad,Novotel Hyderabad,4.3,4200,6000,8400,10800,Pool; Gym; Free WiFi; Restaurant,Charminar,6000
Hyderabad,The Park Hyderabad,4.2,2940,4200,5880,7560,Pool; Rooftop; Bar; Free WiFi,Charminar,4200
Hyderabad,Hotel Nayaab,4.0,840,1200,1680,2160,Free WiFi; Airport transfer; AC,Charminar,1200
Hyderabad,FabHotel Grand,3.8,630,900,1260,1620,Free WiFi; AC; Breakfast,Charminar,900
Hyderabad,Treebo Trend Hotel,3.9,770,1100,1540,1980,Free WiFi; Breakfast; AC,Charminar,1100
Hyderabad,Taj Krishna,4.6,6650,9500,13300,17100,Pool; Spa; Free WiFi; Fine Dining,Charminar,9500
Delhi,The Leela Palace,4.7,9800,14000,19600,25200,Luxury spa; Pool; Fine dining; Free WiFi,India Gate,14000
Delhi,ITC Maurya,4.6,8400,12000,16800,21600,Pool; Spa; Free WiFi; Business Center,India Gate,12000
Delhi,Taj Palace,4.6,7000,10000,14000,18000,Pool; Airport transfer; Spa; Free WiFi,India Gate,10000
Delhi,The Claridges,4.4,4550,6500,9100,11700,Garden; Restaurant; Free WiFi,India Gate,6500
Delhi,The Imperial,4.6,7700,11000,15400,19800,Heritage; Fine dining; Spa; Free WiFi,India Gate,11000
Delhi,Hotel Ajanta,4.0,1260,1800,2520,3240,Free WiFi; Restaurant; AC,India Gate,1800
Delhi,Bloomrooms @ Janpath,4.0,1120,1600,2240,2880,Free WiFi; AC; Central location,India Gate,1600
Delhi,FabHotel Midtown,3.8,840,1200,1680,2160,Free WiFi; AC; Breakfast,India Gate,1200
Delhi,Hotel Grand Godwin,4.1,1610,2300,3220,4140,Free WiFi; Restaurant; Airport shuttle,India Gate,2300
