city,landmark,rating,entry_fee_inr,description,why_visit
Hyderabad,Charminar,4.5,25,Iconic 16th‑century monument in the heart of the city.,Historic symbol and vibrant old city atmosphere.
Hyderabad,Golconda Fort,4.4,100,Massive hilltop fort known for acoustic design.,Panoramic views and evening light show.
Hyderabad,Ramoji Film City,4.4,1350,World’s largest integrated film studio complex.,Studio tours and entertainment experiences.
Hyderabad,Chowmahalla Palace,4.3,80,Former residence of the Nizams of Hyderabad.,Royal architecture and heritage collections.
Hyderabad,Salar Jung Museum,4.4,50,One of India’s largest art museums.,Rare global art collections.
Hyderabad,Birla Mandir,4.5,0,White marble Hindu temple on a hill.,Peaceful views over the city.
Hyderabad,Hussain Sagar Lake,4.2,0,Large artificial lake with Buddha statue.,Relaxing boat rides and sunset views.
Hyderabad,Nehru Zoological Park,4.3,60,Popular zoo with safari options.,Family-friendly wildlife experience.
Delhi,India Gate,4.6,0,War memorial dedicated to Indian soldiers.,Evening strolls and patriotic landmark.
Delhi,Qutub Minar,4.5,40,UNESCO-listed tallest brick minaret.,Historic Indo-Islamic architecture.
Delhi,Red Fort,4.5,35,Mughal-era fort and independence symbol.,Rich history and light show.
Delhi,Humayun’s Tomb,4.5,40,Mughal garden tomb and UNESCO site.,Architectural precursor to the Taj Mahal.
Delhi,Lotus Temple,4.6,0,Bahá'í temple shaped like a lotus.,Symbol of peace and unity.
Delhi,Akshardham Temple,4.7,0,Grand modern Hindu temple complex.,Cultural exhibits and evening water show.
Delhi,Jama Masjid,4.5,0,One of India’s largest mosques.,Panoramic Old Delhi views.
Delhi,Rashtrapati Bhavan,4.6,50,Official residence of the President of India.,Grand colonial architecture.
Mumbai,Gateway of India,4.6,0,Iconic colonial-era waterfront arch.,Popular sunset and ferry point.
Mumbai,Elephanta Caves,4.4,40,Ancient rock-cut cave temples.,UNESCO heritage and sculptures.
Mumbai,Marine Drive,4.7,0,Scenic coastal promenade.,Famous Queen’s Necklace night view.
Mumbai,Siddhivinayak Temple,4.7,0,Famous Hindu temple dedicated to Ganesha.,Spiritual and cultural landmark.
Mumbai,Chhatrapati Shivaji Maharaj Terminus,4.7,0,Historic railway station and UNESCO site.,Victorian Gothic architecture.
Mumbai,Haji Ali Dargah,4.6,0,Mosque located on an islet.,Spiritual site with sea views.
Mumbai,Juhu Beach,4.3,0,Popular urban beach.,Street food and sunset vibes.
Mumbai,Sanjay Gandhi National Park,4.4,85,Large protected forest area.,Nature trails and Kanheri Caves.
Bangalore,Lalbagh Botanical Garden,4.5,30,Historic botanical garden.,Glasshouse and flower shows.
